activity_multiplier,animal_residue_pct,battery_level_percent,battery_maintenance_event,bin_index,collection_delay_minutes,collection_event,collection_threshold_percent,college_calendar_closed,date_index,day_of_week,dominant_waste_code,event_code,fill_level_percent,fish_meat_pct,friday_effect_active,green_other_pct,gross_waste_generation_kg,holiday_code,hour,hours_since_last_collection,humidity_percent,informal_recovery_kg,institution_status_code,is_collection_due,is_durga_puja_school_break,is_eid_day,is_eid_fitr_day,is_eid_fitr_period,is_eid_period,is_friday_prayer_window,is_packet_loss,is_public_holiday,is_ramadan,is_sensor_anomaly,is_special_working_day,is_weekend,metal_glass_pct,needs_collection,office_calendar_closed,organic_food_pct,overflow_kg,paper_cardboard_pct,plastic_pct,predicted_fill_level_percent,predicted_overflow_kg_4h,rainfall_mm_hour,school_calendar_closed,season_code,sensor_error_code,temperature_c,textile_pct,time_slot_code,timestamp_unix,true_fill_level_percent,waste_bulk_density_kg_m3,waste_entering_bin_kg,waste_volume_liter,weather_code
0.6984,2,99.2359,0,0,0,0,80,0,0,2,0,0,14.4832,3,0,13,0.705182,0,0,2.26682,76.5052,0.0856428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,32,0,16,21,17.3733,0,0,0,0,0,15.4149,7,0,1735668000,16.4865,223.214,0.619539,2.77554,0
0.5626,2,95.6678,0,1,0,0,80,0,0,2,0,0,5.51597,7,0,5,0.712431,0,0,2.34783,74.5081,0.0426213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,57,0,6,16,7.55651,0,0,0,0,0,13.9027,4,0,1735668000,8.43589,254.822,0.669809,2.62853,0
0.8924,1,99.279,0,2,0,0,80,0,0,2,0,0,11.5477,5,0,11,1.53388,0,0,6.19724,73.2639,0.0921647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,46,0,11,16,16.7248,0,0,0,0,0,13.9154,5,0,1735668000,9.06929,239.106,1.44171,6.02961,0
0.2134,4,97.2712,0,3,0,0,75,0,0,2,4,0,20.8202,4,0,18,0.314525,0,0,5.96398,69.8276,0.0230296,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,19,0,26,19,20.7959,0,0,0,0,0,14.5102,5,0,1735668000,18.6452,214.397,0.291495,1.3596,0
0.8924,0,95.2386,0,4,0,0,75,0,0,2,0,0,13.1791,5,0,10,3.28352,0,0,2.67906,75.2879,0.1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,46,0,11,18,24.16,0,0,0,0,0,13.9921,4,0,1735668000,13.8597,243.775,3.17202,13.0121,0
0.8924,2,95.8679,0,5,0,0,75,0,0,2,0,0,23.8919,4,0,10,3.88834,0,0,1.00282,75.1559,0.169299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,53,0,8,13,49.8473,0,0,0,0,0,14.3494,7,0,1735668000,25.2249,238.873,3.71904,15.5691,0
0.2134,1,99.649,0,6,0,0,80,0,0,2,4,0,13.6344,4,0,19,0.121898,0,0,1.13828,73.3519,0.013756,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,23,0,26,14,13.5589,0,0,0,0,0,14.2232,7,0,1735668000,11.0847,219.582,0.108142,0.492488,0
0.97,3,98.558,0,7,0,0,72,0,0,2,0,0,19.8717,4,0,9,1.63723,0,0,6.59604,74.3542,0.0461795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,57,0,10,10,19.6375,0,0,0,0,0,14.4702,6,0,1735668000,19.1713,231.982,1.59105,6.85849,0
0.2134,1,99.2362,0,8,0,0,75,0,0,2,4,0,20.497,2,0,18,0.287405,0,0,5.78932,76.7286,0.0312537,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,25,0,28,19,23.2584,0,0,0,0,0,13.7367,4,0,1735668000,20.0387,179.674,0.256151,1.42564,0
0.679,1,97.3821,0,9,0,0,75,0,0,2,1,0,19.901,56,0,9,1.02178,0,0,3.78822,77.295,0.0140969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,18,0,2,9,22.4417,0,0,0,0,0,14.6104,2,0,1735668000,19.8108,397.741,1.00769,2.53352,0
