bin_index,bin_id,city,area_type,land_use_subtype,neighborhood,bin_volume_liter,nominal_mass_capacity_kg,latitude,longitude,placement,nearby_business_type,nearby_poi_type,population_density,catchment_population_equivalent,income_band,per_capita_waste_kg_day,bin_capture_fraction,density_load_multiplier,baseline_generation_kg_per_hour,road_accessibility,collection_service_level,collection_interval_hours,informal_recovery_rate,collection_threshold_percent,battery_drain_percent_per_hour,friday_prayer_multiplier,eid_day_multiplier,base_composition_percent
0,DH-00001,Dhaka,Commercial,Mixed Commercial,Motijheel,360.0,64.8,23.73571,90.43157,Office,Shopping,Mosque,Medium,188,NA,,,1.0,0.96160203,Moderate,Moderate,6,0.19790952,80.0,0.028647477,4.0118766,1.0,30.000002;3.000000;1.000000;25.000000;17.000000;8.000000;6.000000;10.000000
1,DH-00002,Dhaka,Commercial,Restaurant/Food Zone,Old Dhaka,1100.0,198.00002,23.703606,90.40525,Near market,Shopping,None,Medium,122,NA,,,1.0,1.178882,Easy,Moderate,6,0.1620377,80.0,0.030419506,4.6617026,1.7576854,55.000000;8.000000;1.000000;18.000000;8.000000;2.000000;3.000000;5.000000
2,DH-00003,Dhaka,Residential,Apartment Residential,Gulshan/Banani,360.0,64.8,23.792507,90.41582,Roadside,Market,None,Medium,148,High,0.51107526,0.4538323,1.0,1.6323147,Moderate,Moderate,6,0.13881926,80.0,0.026243456,4.157429,5.0877714,45.000000;5.000000;1.000000;18.000000;12.000000;5.000000;4.000000;10.000000
3,DH-00004,Dhaka,Office,Private Office,Gulshan/Banani,360.0,64.8,23.77781,90.43041,Roadside,Office,Office,High,347,NA,,,1.15,1.2683797,Moderate,Moderate,8,0.123206496,75.0,0.021540541,3.0055153,1.0,22.000000;2.000000;1.000000;18.000000;30.000002;5.000000;5.000000;17.000000
4,DH-00005,Dhaka,Residential,Apartment Residential,Motijheel,360.0,64.8,23.724512,90.421364,Roadside,Restaurant,Mosque,High,253,Middle,0.3786494,0.58866256,1.15,3.4337354,Easy,Good,5,0.07350123,75.0,0.03087068,3.2936935,5.773897,45.000000;5.000000;1.000000;18.000000;12.000000;5.000000;4.000000;10.000000
5,DH-00006,Dhaka,Residential,Dense Residential,Dhanmondi,240.0,43.2,23.75134,90.38961,Indoor,Market,Mosque,High,342,Middle,0.39844248,0.64026386,1.15,3.9172037,Moderate,Moderate,6,0.11264687,75.0,0.020823712,3.1965935,5.537402,50.000000;5.000000;1.000000;16.000000;10.000000;5.000000;3.000000;10.000000
6,DH-00007,Dhaka,Office,Private Office,Motijheel,360.0,64.8,23.717505,90.406815,Roadside,Restaurant,Office,Medium,123,NA,,,1.0,0.50120294,Moderate,Moderate,8,0.1887943,80.0,0.027856648,4.7811832,1.0,22.000000;2.000000;1.000000;18.000000;30.000002;5.000000;5.000000;17.000000
7,DH-00008,Dhaka,Slum,Informal Settlement,Dhanmondi,660.0,118.8,23.757156,90.38207,Roadside,Market,Mosque,High,180,Low,0.29186875,0.56852156,1.15,1.631518,Difficult,Moderate,6,0.09612992,72.0,0.034421965,3.5834076,3.2422626,55.000000;6.000000;1.000000;12.000000;8.000000;6.000000;3.000000;9.000000
8,DH-00009,Dhaka,Office,Government Office,Dhanmondi,240.0,43.2,23.745964,90.359436,Office,Restaurant,Office,High,336,NA,,,1.15,1.4620168,Easy,Good,7,0.19135673,75.0,0.02621623,3.4605896,1.0,22.000000;2.000000;1.000000;18.000000;30.000002;5.000000;5.000000;17.000000
9,DH-00010,Dhaka,Market,Fish Market,Motijheel,1100.0,198.00002,23.729946,90.414474,Roadside,Market,None,Medium,162,NA,,,1.0,1.7475766,Moderate,Moderate,4,0.074101485,75.0,0.033131883,3.407659,2.8360963,15.000001;60.000004;1.000000;10.000000;3.000000;1.000000;2.000000;8.000000
